Date, Symbol, Series, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
16-Apr-2019, RELIANCE, EQ, 1345.00, 1360.00, 1340.00,        1345.00, 1343.75, 7936553, 107119.81
15-Apr-2019, RELIANCE, EQ, 1345.00, 1348.95, 1335.00,        1339.00, 1340.15, 4245127, 56940.89
12-Apr-2019, RELIANCE, EQ, 1350.00, 1356.90, 1336.65,        1340.00, 1343.10, 5919742, 79684.61
11-Apr-2019, RELIANCE, EQ, 1332.95, 1353.00, 1329.00,        1350.00, 1346.80, 5741333, 76842.66
10-Apr-2019, RELIANCE, EQ, 1337.95, 1348.00, 1326.50,        1331.00, 1331.40, 7612711, 101857.31
09-Apr-2019, RELIANCE, EQ, 1328.90, 1340.70, 1321.00,        1338.00, 1334.45, 9497621, 126361.60
08-Apr-2019, RELIANCE, EQ, 1356.00, 1357.50, 1323.70,        1328.00, 1329.25, 8723577, 116467.35
05-Apr-2019, RELIANCE, EQ, 1360.95, 1363.90, 1343.00,        1355.85, 1353.90, 6728239, 91000.90
04-Apr-2019, RELIANCE, EQ, 1379.00, 1383.70, 1347.25,        1354.50, 1353.05, 8375674, 113962.56
03-Apr-2019, RELIANCE, EQ, 1392.75, 1403.00, 1372.00,        1374.60, 1375.20, 7849461, 109122.96
02-Apr-2019, RELIANCE, EQ, 1398.00, 1403.10, 1380.10,        1388.20, 1389.70, 8012636, 111403.74
01-Apr-2019, RELIANCE, EQ, 1370.00, 1406.80, 1362.55,        1391.60, 1391.85, 10098281, 140036.15
29-Mar-2019, RELIANCE, EQ, 1370.05, 1376.85, 1355.10,        1363.05, 1363.25, 7699271, 104984.46
28-Mar-2019, RELIANCE, EQ, 1350.25, 1369.80, 1342.80,        1362.00, 1360.00, 10482938, 142288.80
27-Mar-2019, RELIANCE, EQ, 1377.95, 1377.95, 1344.25,        1347.00, 1349.25, 10094174, 137353.99
26-Mar-2019, RELIANCE, EQ, 1330.30, 1371.60, 1330.00,        1369.00, 1367.25, 9479288, 128260.64
25-Mar-2019, RELIANCE, EQ, 1330.60, 1336.85, 1316.70,        1328.00, 1324.45, 7951992, 105376.32
22-Mar-2019, RELIANCE, EQ, 1372.50, 1380.90, 1336.70,        1345.10, 1341.75, 11465112, 155826.94
20-Mar-2019, RELIANCE, EQ, 1377.80, 1388.00, 1364.00,        1373.05, 1375.45, 9892823, 136142.22
19-Mar-2019, RELIANCE, EQ, 1360.00, 1380.00, 1343.10,        1378.00, 1376.55, 9805318, 133569.01
18-Mar-2019, RELIANCE, EQ, 1331.00, 1357.95, 1329.00,        1356.50, 1350.05, 10105234, 135534.62
