Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded Quantity,Turnover,No. of Trades,DeliverableQty,% Dly Qt toTraded Qty
RELIANCE,EQ,18-Mar-2019,"1,321.65","1,331.00","1,357.95","1,329.00","1,356.50","1,350.05","1,341.23","1,01,05,234","13,55,34,61,916.40","2,05,654","47,40,899",46.92
RELIANCE,EQ,19-Mar-2019,"1,350.05","1,360.00","1,380.00","1,343.10","1,378.00","1,376.55","1,362.21","98,05,318","13,35,69,00,675.35","1,96,165","27,11,171",27.65
RELIANCE,EQ,20-Mar-2019,"1,376.55","1,377.80","1,388.00","1,364.00","1,373.05","1,375.45","1,376.17","98,92,823","13,61,42,22,090.05","1,75,117","34,10,645",34.48
RELIANCE,EQ,22-Mar-2019,"1,375.45","1,372.50","1,380.90","1,336.70","1,345.10","1,341.75","1,359.14","1,14,65,112","15,58,26,94,374.75","2,16,597","60,45,124",52.73
RELIANCE,EQ,25-Mar-2019,"1,341.75","1,330.60","1,336.85","1,316.70","1,328.00","1,324.45","1,325.16","79,51,992","10,53,76,31,803.10","1,62,927","36,61,248",46.04
RELIANCE,EQ,26-Mar-2019,"1,324.45","1,330.30","1,371.60","1,330.00","1,369.00","1,367.25","1,353.06","94,79,288","12,82,60,63,635.90","1,86,909","32,50,443",34.29
RELIANCE,EQ,27-Mar-2019,"1,367.25","1,377.95","1,377.95","1,344.25","1,347.00","1,349.25","1,360.73","1,00,94,174","13,73,53,99,190.80","1,71,701","33,94,370",33.63
RELIANCE,EQ,28-Mar-2019,"1,349.25","1,350.25","1,369.80","1,342.80","1,362.00","1,360.00","1,357.34","1,04,82,938","14,22,88,79,896.70","1,78,529","46,55,778",44.41
RELIANCE,EQ,29-Mar-2019,"1,360.00","1,370.05","1,376.85","1,355.10","1,363.05","1,363.25","1,363.56","76,99,271","10,49,84,45,885.85","1,36,542","31,30,918",40.67
RELIANCE,EQ,01-Apr-2019,"1,363.25","1,370.00","1,406.80","1,362.55","1,391.60","1,391.85","1,386.73","1,00,98,281","14,00,36,14,629.20","2,39,548","31,66,752",31.36
RELIANCE,EQ,02-Apr-2019,"1,391.85","1,398.00","1,403.10","1,380.10","1,388.20","1,389.70","1,390.35","80,12,636","11,14,03,73,758.15","1,68,893","22,76,094",28.41
RELIANCE,EQ,03-Apr-2019,"1,389.70","1,392.75","1,403.00","1,372.00","1,374.60","1,375.20","1,390.20","78,49,461","10,91,22,95,747.30","1,69,662","29,34,404",37.38
RELIANCE,EQ,04-Apr-2019,"1,375.20","1,379.00","1,383.70","1,347.25","1,354.50","1,353.05","1,360.64","83,75,674","11,39,62,56,161.40","1,77,047","27,98,000",33.41
RELIANCE,EQ,05-Apr-2019,"1,353.05","1,360.95","1,363.90","1,343.00","1,355.85","1,353.90","1,352.52","67,28,239","9,10,00,90,311.80","1,31,955","22,31,490",33.17
RELIANCE,EQ,08-Apr-2019,"1,353.90","1,356.00","1,357.50","1,323.70","1,328.00","1,329.25","1,335.09","87,23,577","11,64,67,34,561.25","2,16,174","43,45,575",49.81
RELIANCE,EQ,09-Apr-2019,"1,329.25","1,328.90","1,340.70","1,321.00","1,338.00","1,334.45","1,330.46","94,97,621","12,63,61,59,790.65","2,02,524","45,54,495",47.95
RELIANCE,EQ,10-Apr-2019,"1,334.45","1,337.95","1,348.00","1,326.50","1,331.00","1,331.40","1,337.99","76,12,711","10,18,57,30,758.10","1,52,322","30,54,830",40.13
RELIANCE,EQ,11-Apr-2019,"1,331.40","1,332.95","1,353.00","1,329.00","1,350.00","1,346.80","1,338.41","57,41,333","7,68,42,65,511.95","1,39,852","22,74,089",39.61
RELIANCE,EQ,12-Apr-2019,"1,346.80","1,350.00","1,356.90","1,336.65","1,340.00","1,343.10","1,346.08","59,19,742","7,96,84,61,250.85","1,47,697","20,37,194",34.41
RELIANCE,EQ,15-Apr-2019,"1,343.10","1,345.00","1,348.95","1,335.00","1,339.00","1,340.15","1,341.32","42,45,127","5,69,40,89,311.50","90,689","14,97,000",35.26
RELIANCE,EQ,16-Apr-2019,"1,340.15","1,345.00","1,360.00","1,340.00","1,345.00","1,343.75","1,349.70","79,36,553","10,71,19,81,439.80","1,99,659","42,17,307",53.14
